;identifier;bikewayName;city
0;bw001;Avenida Orillas Del Zamora;Loja
1;bw002;18 De Noviembre;Loja
2;bw003;Avenida Emiliano Ortega;Loja
3;bw004;Santiago De Las Montañas;Loja
4;bw005;Eduardo Kingman;Loja
5;bw006;Lourdes;Loja
6;bw007;Quito;Loja
7;bw008;José Joaquín De Olmedo;Loja
8;bw009;Bernardo Valdivieso;Loja
9;bw010;Daniel Armijos C.;Loja
10;bw011;24 De Mayo;Loja
11;bw012;Imbabura;Loja
12;bw013;Velasco Ibarra;Loja
13;bw014;González Suárez;Loja
14;bw015;Avenida Gran Colombia;Loja
15;bw016;José Félix De Valdivieso;Loja
16;bw017;Pedro De Cianca;Loja
17;bw018;Sta. Rosa;Loja
18;bw019;Catacocha;Loja
19;bw020;Juan De Salinas;Loja
