;geo;identifier
0;-3.9814935, -79.2026335;gsp001
1;-4.005156, -79.2033681;gsp002
2;-3.9954277, -79.1983536;gsp003
3;-3.9858742, -79.2012149;gsp004
4;-4.0065228, -79.2013282;gsp005
5;-4.0023572, -79.2004507;gsp006
6;-3.9931322, -79.2017429;gsp007
7;-4.0011956, -79.1999134;gsp008
8;-3.9961199, -79.201269;gsp009
9;-3.9741987, -79.2029466;gsp010
10;-3.9964799, -79.1981459;gsp011
11;-3.9941608, -79.20442;gsp012
12;-3.9731807, -79.2030858;gsp013
13;-4.0047616, -79.2008094;gsp014
14;-3.9843398, -79.2044845;gsp015
15;-3.9925193, -79.2041316;gsp016
16;-3.986274, -79.2011013;gsp017
17;-3.9780714, -79.2025325;gsp018
18;-4.0036248, -79.2034726;gsp019
19;-3.9917483, -79.2044876;gsp020
20;-3.9946914, -79.198409;gep001
21;-3.9965072, -79.2041065;gep002
22;-3.9937927, -79.201447;gep003
23;-3.9755471, -79.2022839;gep004
24;-4.0133977, -79.2011442;gep005
25;-4.0128679, -79.2027664;gep006
26;-3.995103, -79.2042273;gep007
27;-3.992512, -79.1999903;gep008
28;-3.9922003, -79.2014127;gep009
29;-3.9880466, -79.2006045;gep010
30;-4.0022875, -79.1992198;gep011
31;-4.0012738, -79.2001889;gep012
32;-3.9828849, -79.2025254;gep013
33;-3.9986392, -79.1979826;gep014
34;-3.9862091, -79.2058727;gep015
35;-4.0082436, -79.2032239;gep016
36;-3.9842731, -79.2044421;gep017
37;-3.974718, -79.2027513;gep018
38;-4.011536, -79.2028391;gep019
39;-3.9891767, -79.2092048;gep020
