;idRoute;position;title;category;isActive;photos;createdAt;description;idIncident
0;AAREuNQKZ4QHctIQWlsa;-79.2011187,-4.0054973;Infraccion;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP2007669301180568698.jpg?alt=media&token=32baa643-8cf2-49a5-a4b8-e0a4a073d235;2022-12-01 21:03:26.093000+00:00;;0OhmdV0wY4s3AzILtUMn
1;xnFzRTIJWOI4ya7b5mQj;-79.2044171,-3.9924947;Invasion;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP3923918548882571618.jpg?alt=media&token=2bde5105-5934-4003-aa35-a658ae76162d;2022-11-30 20:16:22.135000+00:00;Peatón circula la vía ;0T765mTW9vNmYtjmGxsL
2;e5llivtyMROSHwfuppj5;-79.2007157,-3.9876452;Invasión 2;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1622151132228875078.jpg?alt=media&token=9064f797-09b9-4b8f-853a-7bae309d58f4;2022-11-26 13:07:58.270000+00:00;Persona obstruye ciclovia, sector del colegio técnico. ;2f7kSyCURB0fsTb1ScxW
3;nyVEUtsSpD4PDacBeuRO;-79.2199435,-3.9481086;Ruta ecológica ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP4820803622253456051.jpg?alt=media&token=e2626349-512d-4048-a5f7-397c66b0c07d;2022-11-27 12:31:08.726000+00:00;;3G9mU0NdnQ4D0HvM2Ms5
4;fO7QERhSz3UeKvXEPnOg;-79.1981809,-3.9878898;Robo: 23-11-2022;Robo;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7527284396711892028.jpg?alt=media&token=24306c5e-5119-4122-a962-1e6e6be052ca;2022-11-23 23:46:12.529000+00:00;;61xr0xDVgzeJbZ2eTkaj
5;NaX0dIpGrRnQmTRCNuIh;-79.2032409,-4.0013816;Invasion;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP6603835897088945180.jpg?alt=media&token=1145dbb6-81e1-4253-a5bc-3cd789f12348;2022-11-30 21:30:02.147000+00:00;;6ruFtBMUGxsGlWOnoIgd
6;dzT3MWw9RIVa9KLUJo42;-79.1987374,-3.993768;Invasión de ciclovía ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7108783606517996516.jpg?alt=media&token=b72c9956-0d89-41b3-bc3f-32188682a976;2022-11-26 16:14:14.579000+00:00;;8LSj7HWAXGe5didlVEQb
7;N7x3Z9LWtux2X5cVW9mx;-79.1984667,-4.00227;Moto infractora;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP8121422219493920872.jpg?alt=media&token=d1c1bcc2-596a-42cf-a77e-707075ebdca2;2022-12-01 23:27:39.523000+00:00;;8lo5N98u9GroXXDHxBBd
8;HcXyIfSD563SoGzot4Rr;-79.2001633,-3.996025;Invasión #5;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7992965506728399809.jpg?alt=media&token=39c9657e-a77a-4c44-b904-e527da7d22fa;2022-11-26 13:19:22.985000+00:00;Motociclista se estaciona en la ciclovía ;9MtCia7cXwsrCky6fyq8
9;0undJ78yDgaMJWMiteVI;-79.2025423,-3.9807856;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP672894164710908415.jpg?alt=media&token=d742fa56-e67e-4949-9da6-8e31955a1e16;2022-11-28 11:51:00.867000+00:00;;BItR1wHEupvROHHqAici
10;0undJ78yDgaMJWMiteVI;-79.2025423,-3.9807856;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP672894164710908415.jpg?alt=media&token=34389721-0c65-4159-84d4-c24052329b0b;2022-11-28 11:50:58.333000+00:00;;BWcttQFaM1swz7Cj091P
11;MeaXvJQrMw6MsQKoTBZB;-79.2027256,-4.00248;Invasión ciclovía ;Accidente;Activo;;2022-12-04 16:59:56.745000+00:00;Carro estacionado en ciclovía ;CBzl7SD20gk1yTM4Pntr
12;DfBWV67ZyYCmUe1tTgZV;-79.2012187,-4.0098018;Obstáculo ;Accidente;Activo;;2022-12-03 21:52:57.821000+00:00;Rama en ciclovía ;Dm1frIFH7fl3RlZi5for
13;nyVEUtsSpD4PDacBeuRO;-79.2199385,-3.9481061;Accidente: 27-11-2022;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7730703556688684811.jpg?alt=media&token=3d847c61-9591-4053-a440-a60302c37491;2022-11-27 12:29:21.828000+00:00;;FsjTBFundjEsRVRhkYAY
14;6Zc2zHh9cfRDK08c3L9o;-79.2256168,-3.9438577;Accidente: 27-11-2022;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1693351244734287503.jpg?alt=media&token=0e21fb6d-5bdc-4655-abf9-82297aeae580;2022-11-27 13:23:13.644000+00:00;;GUlTFcUgXJCiK1eXWUuC
15;e5llivtyMROSHwfuppj5;-79.2013669,-3.9961203;Invasión 4;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP6860625265941920646.jpg?alt=media&token=dbb4ff5e-d84a-45d5-8531-78f8061b6bda;2022-11-26 13:19:52.068000+00:00;Motocicleta invadiendo ciclovia. ;GdZZCwIDEPn1xRjovoOR
